var,est,p,ll,ul
Shock (log),0.0170232,0.883,0.8737665,0.89178366
Construal Style (std),-0.0683533,0.879,0.86963852,0.88791643
Shock * Const,0.1837096,0.032,0.02729649,0.03725972
Constant,-4.487906,0.0522,0.04619764,0.05873169
