pred,im1,im2,im3
-10,-1.0223804,-1.5346834,-2.0469864
-9.5,-1.1391866,-1.5404804,-1.9417741
-9,-1.2559928,-1.5462774,-1.8365619
-8.5,-1.372799,-1.5520743,-1.7313496
-8,-1.4896052,-1.5578713,-1.6261374
-7.5,-1.6064114,-1.5636683,-1.5209251
-7,-1.7232176,-1.5694652,-1.4157129
-6.5,-1.8400238,-1.5752622,-1.3105006
-6,-1.95683,-1.5810592,-1.2052884
-5.5,-2.0736362,-1.5868561,-1.1000761
-5,-2.1904424,-1.5926531,-0.99486385
