hisp_1980,nhisp_1980,hisp_1990,nhisp_1990,hisp_2000,nhsip_2000,doc_id
,,,,10089,159510,vci_2001_vci17.txt
,,,,10089,159510,vci_2002_vci18.txt
,,,,10089,159510,vci_2003_vci21.txt
,,,,10089,159510,vci_2004_vci22.txt
,,31,8977,,,na_1995_fs2.txt
,,31,8977,,,na_1996_fs7.txt
,,31,8977,,,na_1997_fs20.txt
,,31,8977,,,na_1998_fs27.txt
,,31,8977,,,na_1999_fs39.txt
,,,,39,9092,na_2000_fs52.txt
,,,,39,9092,na_2001_fs67.txt
,,,,39,9092,na_2002_fs71.txt
,,,,39,9092,na_2003_fs72.txt
,,,,39,9092,thunder_2003_thunder1.txt
,,,,39,9092,thunder_2004_thunder5.txt
,,,,39,9092,na_2004_fs75.txt
