Year,KKK,Neo-Nazi,Racist Skinhead,Identity,Neo-Confederate,White Nationalist
1997,127,100,42,81,NA,NA
1998,163,151,48,62,NA,NA
2000,110,180,39,32,88,NA
2001,109,209,43,31,124,NA
2002,133,220,18,27,91,NA
2003,158,149,39,31,91,NA
2004,162,158,48,28,97,NA
2005,179,157,56,35,99,NA
2006,165,190,78,37,102,110
2007,155,207,90,36,104,125
2008,186,196,98,39,93,111
