,abl,accept,accord,across,act,action,activ,actual,addit,address,ago,allow,almost,along,alreadi,also,although,alway,america,american,among,anoth,answer,anyon,anyth,appear,area,around,articl,ask,associ,attack,attempt,author,avail,away,back,base,becam,becom,begin,behind,believ,best,better,big,bill,black,book,box,bring,brought,build,busi,call,came,cant,care,carri,case,caus,center,certain,chang,charg,check,children,christian,church,citi,citizen,civil,claim,clear,close,come,commit,communiti,complet,concern,condit,consid,constitut,continu,control,copi,correct,cost,countri,cours,court,creat,crime,cultur,current,danger,david,day,deal,death,defend,destroy,destruct,die,differ,direct,dollar,donat,done,dont,editor,educ,effect,effort,either,elect,end,enemi,enough,entir,especi,establish,even,event,ever,everi,everyon,everyth,exampl,except,exist,expect,express,face,fact,famili,far,father,fear,feder,feel,fight,final,find,first,five,follow,forc,foreign,form,former,found,four,free,freedom,friend,full,futur,gave,general,get,give,given,god,good,govern,great,group,grow,hand,happen,hard,hate,head,hear,heard,held,help,high,histori,hold,home,hope,hous,howev,human,hundr,idea,ignor,immigr,import,includ,increas,individu,inform,instead,interest,intern,involv,issu,jewish,job,john,join,just,keep,kill,know,known,land,larg,last,later,law,lead,leader,learn,least,left,legal,less,let,letter,liber,lie,life,like,line,list,littl,live,local,long,longer,look,lost,lot,love,made,mail,major,make,man,mani,matter,may,mean,media,meet,member,men,mention,messag,might,million,mind,minor,money,month,move,movement,much,murder,must,name,nation,natur,near,need,never,new,news,newspap,next,north,note,noth,now,number,obvious,offer,offic,offici,often,old,one,open,order,organ,other,part,parti,pass,past,patriot,pay,peopl,per,perhap,person,place,plan,pleas,point,polici,polit,posit,possibl,power,practic,present,presid,press,price,problem,program,promot,protect,provid,public,publish,purpos,put,question,quit,race,racial,rais,rate,rather,reach,read,real,realli,reason,receiv,recent,record,refer,refus,relat,remain,rememb,report,repres,requir,respect,respons,result,return,right,rule,run,save,say,school,second,secur,see,seem,seen,send,sent,serv,servic,set,sever,show,side,sign,simpli,sinc,situat,small,social,societi,someth,soon,south,southern,speak,special,speech,stand,start,state,statement,still,stop,stori,street,strong,studi,subject,subscript,success,support,sure,surviv,system,take,taken,talk,tell,ten,term,thank,thing,think,though,thought,thousand,three,time,today,togeth,told,took,total,toward,tri,TRUE,truth,turn,two,understand,unit,univers,upon,use,view,vote,want,war,washington,way,week,well,went,whether,white,whole,whose,within,without,women,word,work,world,write,written,wrong,year,yet,york,young
knights_2003_crus4.txt,4,1,3,2,6,11,1,3,2,4,2,6,1,3,3,8,1,2,18,10,9,3,1,0,4,5,4,2,2,5,3,2,1,4,1,4,15,6,0,8,1,4,8,4,2,1,1,24,17,6,3,2,1,17,8,1,4,4,1,6,3,2,1,4,6,3,12,18,0,9,10,0,8,1,1,8,2,3,1,4,0,6,2,20,1,5,0,1,7,3,9,3,2,2,2,5,1,3,2,0,3,2,0,0,6,3,5,2,0,15,3,5,0,3,4,3,3,4,4,2,0,0,14,0,0,4,0,0,5,2,2,2,0,1,7,9,4,2,2,2,1,3,1,5,7,1,3,2,1,1,6,6,1,3,0,2,1,1,1,2,35,6,5,0,8,5,1,9,3,2,9,1,6,0,6,0,2,6,9,3,2,8,1,7,10,6,0,4,1,26,2,11,10,1,3,1,2,2,4,10,2,8,0,2,9,4,1,11,2,1,8,3,7,15,0,4,1,3,4,9,4,2,5,1,2,5,15,3,4,4,19,3,8,1,6,2,1,3,5,0,3,11,7,29,4,10,4,4,0,6,4,0,3,5,8,12,21,10,6,8,3,8,1,8,2,17,4,3,4,3,8,2,0,6,6,1,2,14,7,2,1,12,0,2,2,14,2,9,5,2,7,19,3,3,0,0,19,2,0,20,3,16,2,3,0,7,3,5,7,0,2,6,1,0,4,8,4,2,2,9,5,0,10,0,1,9,7,0,4,2,1,3,0,1,4,5,2,2,0,1,3,2,3,8,3,5,4,4,2,6,14,6,1,4,12,15,1,10,5,1,2,5,1,4,3,2,1,7,7,14,3,3,0,3,9,3,0,2,4,1,8,3,0,4,5,18,3,10,0,4,1,3,0,1,2,1,11,3,1,3,8,3,2,7,1,2,1,2,4,1,1,2,6,11,5,1,10,2,2,3,5,0,4,2,8,1,7,8,0,10,4,12,9,6,0,11,3,6,0,1,30,0,0,5,5,14,1,12,10,1,0,4,24,0,1,3
knights_2003_crus5.txt,2,8,8,1,3,6,1,0,1,3,2,3,2,2,2,18,2,5,20,9,3,7,0,3,3,4,3,3,3,10,6,2,4,2,2,6,7,6,2,11,8,0,4,2,2,6,0,19,10,5,3,2,0,6,8,7,1,1,3,4,7,2,6,4,1,0,18,36,7,7,2,7,7,4,2,6,4,11,1,0,0,7,4,23,6,1,5,1,14,3,11,5,1,3,0,1,5,11,1,2,0,1,0,1,1,5,3,1,1,6,5,8,4,0,1,0,5,0,2,1,4,3,9,1,2,1,0,0,6,3,1,1,7,2,4,16,2,3,1,3,5,1,1,3,16,3,5,2,3,5,4,3,1,0,2,1,0,2,4,2,9,5,1,19,10,7,5,13,2,2,1,4,5,2,5,0,6,5,7,6,6,2,6,2,9,1,1,1,2,3,5,9,1,3,3,1,7,5,3,7,46,2,3,3,9,5,1,8,6,6,5,2,1,19,3,10,1,3,0,2,3,5,6,3,0,3,15,1,3,8,8,2,5,1,8,2,0,7,15,1,4,11,12,21,4,14,3,2,4,7,4,3,9,1,4,3,4,12,2,2,0,13,4,4,11,31,5,1,6,9,23,4,2,3,0,3,3,5,4,0,3,1,3,6,5,25,0,6,11,2,5,4,4,2,1,5,28,4,0,9,8,1,0,3,6,8,4,5,11,3,3,8,2,0,5,2,4,4,3,11,5,2,6,1,1,4,3,0,2,3,1,1,6,4,4,7,5,3,8,4,6,1,3,11,2,1,1,7,2,0,21,2,3,0,36,14,2,3,7,4,1,2,0,1,1,3,4,6,1,2,0,3,1,2,6,8,5,1,2,1,7,3,0,2,4,11,1,2,0,5,3,6,2,4,1,0,4,2,4,5,13,3,2,7,1,14,5,6,7,0,2,0,3,15,8,3,8,2,1,1,5,4,5,8,5,3,3,2,4,13,0,2,13,3,1,11,4,7,1,2,31,2,0,5,3,11,8,24,20,3,3,1,14,0,7,3
knights_2003_crus6.txt,3,3,7,0,1,2,6,2,1,1,0,4,0,6,4,4,1,1,7,10,2,2,3,1,2,0,1,3,4,6,12,2,5,2,3,3,8,2,2,2,1,0,4,4,1,2,3,7,2,4,2,0,5,2,10,1,2,1,0,14,1,6,6,8,2,5,8,20,1,20,3,8,1,1,2,3,0,4,0,5,1,4,5,16,2,3,2,0,4,1,36,4,1,5,4,0,2,6,0,2,2,1,0,1,1,1,1,9,1,6,14,2,3,6,0,3,1,0,1,1,1,1,7,7,2,5,3,2,3,2,0,2,1,1,2,13,1,3,0,13,5,5,2,11,6,1,4,5,0,0,5,0,1,2,6,2,1,1,1,0,6,4,2,16,2,12,4,10,2,1,0,0,9,1,2,7,5,1,9,4,1,8,9,1,3,4,1,1,1,0,1,2,0,3,6,1,4,3,0,8,10,1,8,0,6,2,1,8,1,0,2,2,0,9,3,3,1,2,2,8,0,5,14,0,0,6,6,3,2,0,5,9,3,4,3,2,3,3,4,1,0,9,5,3,2,6,2,3,7,6,7,0,4,4,2,2,1,3,3,1,1,4,2,6,17,23,5,2,7,3,18,7,6,4,0,1,0,10,2,0,5,6,11,1,1,12,0,16,9,2,4,3,3,3,1,0,18,0,0,9,12,3,3,2,6,11,0,2,3,4,2,3,0,0,1,12,5,4,2,14,2,0,1,3,2,13,5,2,0,1,1,4,3,0,5,2,8,2,4,5,0,2,0,11,3,6,1,3,3,0,10,8,0,0,16,20,1,0,9,0,1,2,1,3,2,2,2,10,1,1,0,3,1,0,2,5,3,3,3,2,7,3,4,4,1,42,0,7,2,3,0,2,1,0,3,2,10,3,0,5,6,2,0,1,8,2,3,6,7,0,0,0,0,11,3,1,7,1,0,1,9,0,3,4,2,1,8,11,2,11,4,2,11,2,3,5,4,4,4,3,26,0,2,6,3,8,13,6,3,3,1,0,8,2,2,2
knights_2004_crus7.txt,0,1,5,3,2,4,4,2,0,2,2,12,1,4,3,12,1,2,14,10,2,2,2,0,3,5,5,3,3,4,2,4,2,3,1,0,12,2,3,11,7,3,10,6,1,1,2,2,4,3,1,1,1,2,8,3,7,4,0,4,3,5,1,2,1,2,37,19,5,11,7,11,1,0,1,10,2,7,1,3,2,2,10,16,5,1,0,1,8,1,18,1,0,4,4,2,0,7,0,1,1,0,0,6,2,1,1,1,4,14,2,2,0,3,1,5,0,1,0,2,1,4,13,1,4,1,1,5,5,0,3,5,0,4,2,9,4,2,0,5,4,6,2,3,10,0,3,3,1,0,1,4,6,2,1,3,0,2,3,2,14,6,2,25,11,2,6,11,1,5,9,2,3,1,4,3,5,5,4,4,2,21,5,4,4,6,1,6,0,12,4,5,0,1,0,3,4,0,2,6,10,4,3,0,7,2,0,14,3,4,0,3,0,7,4,2,4,0,7,9,0,4,2,3,2,11,9,1,0,5,13,2,5,0,5,4,3,7,6,1,5,10,10,11,1,9,3,1,5,6,4,5,5,1,7,1,2,1,1,2,6,7,0,6,2,22,7,3,8,4,21,9,0,1,0,2,5,10,2,0,1,5,6,3,3,18,0,6,9,2,2,2,0,0,1,2,31,0,1,8,8,5,2,3,3,4,1,7,3,2,3,1,2,0,5,6,2,6,3,5,3,1,9,0,0,7,3,6,1,1,2,3,0,7,2,1,5,4,1,1,6,0,3,6,8,0,4,4,2,0,23,15,1,4,18,4,0,0,5,3,5,2,2,0,1,13,3,9,0,2,0,3,1,0,2,0,2,4,3,1,5,0,1,2,5,20,2,6,7,3,0,2,0,3,1,2,10,2,3,0,8,6,4,8,1,0,2,8,12,2,6,1,5,15,5,2,6,1,2,1,7,7,2,3,10,1,1,0,5,5,3,7,16,8,2,10,3,6,4,0,17,1,1,5,0,16,1,13,10,3,0,5,13,3,7,11
knights_2004_crus8.txt,0,0,4,2,2,1,4,1,2,2,0,3,1,1,2,7,0,3,7,11,3,2,0,0,2,1,2,1,5,3,6,2,2,1,0,2,9,0,1,5,0,1,7,4,3,0,0,8,4,5,2,4,0,5,5,1,0,0,1,1,4,0,1,4,0,0,15,27,3,3,2,3,1,3,5,4,0,2,0,4,0,3,4,14,1,1,2,0,3,1,9,1,0,4,1,1,1,6,0,0,1,2,1,1,0,4,0,1,0,11,2,5,0,3,2,24,0,3,2,1,1,0,7,3,0,1,0,0,8,0,0,1,0,0,5,15,2,3,0,2,4,1,1,2,4,1,2,3,1,3,0,5,0,5,2,0,1,4,2,3,8,3,1,15,4,2,3,10,4,1,0,3,3,2,0,0,3,8,1,3,1,3,1,0,3,3,1,2,1,5,5,5,1,0,1,2,3,9,3,11,1,1,3,1,13,1,0,6,0,2,4,3,0,11,4,5,10,1,2,5,2,3,5,1,0,3,11,2,7,2,13,0,2,2,5,1,2,8,4,1,1,9,6,9,3,9,5,0,0,6,3,0,1,1,0,1,0,0,2,6,2,0,0,18,1,15,2,0,3,3,7,3,0,4,0,0,0,9,2,0,0,4,0,6,1,7,1,4,3,6,5,1,3,8,2,1,21,2,0,11,3,0,0,1,0,8,4,4,1,3,1,4,1,0,2,0,0,5,0,6,1,1,5,5,0,4,2,3,0,3,1,0,4,1,5,2,7,1,0,0,3,0,1,3,2,1,0,2,3,1,19,1,1,0,28,3,0,2,5,0,0,1,3,0,0,3,2,4,2,3,2,0,1,1,2,5,1,0,0,0,2,1,0,4,8,25,3,3,1,0,0,1,0,1,1,4,12,0,1,1,8,1,2,2,1,1,0,7,3,0,1,1,1,9,0,1,2,0,0,1,6,3,4,1,5,1,10,1,4,14,4,24,3,0,3,8,4,4,1,2,7,3,1,1,3,2,2,9,9,0,0,3,5,3,1,7
knights_2004_crus9.txt,4,1,3,4,2,3,1,1,2,2,1,3,0,0,0,9,1,0,17,3,4,3,0,1,2,0,3,2,1,1,2,2,2,1,0,0,6,1,0,3,2,3,0,1,0,2,9,15,3,6,1,0,0,1,9,0,2,0,0,1,2,2,3,4,1,1,10,26,4,12,2,0,1,2,0,6,0,1,1,3,0,4,1,7,1,0,0,3,5,5,1,0,1,0,2,0,3,5,0,0,1,1,0,1,1,1,1,3,3,2,4,3,1,3,4,11,2,2,0,0,2,3,11,1,3,3,4,3,2,0,0,2,0,2,3,7,1,1,1,0,4,1,1,2,6,1,1,2,0,1,7,2,2,1,0,2,2,5,0,3,6,4,0,4,3,1,5,7,4,1,1,1,4,1,1,1,0,6,1,1,2,3,4,6,5,0,1,1,2,18,4,6,1,0,2,3,2,1,3,11,3,0,9,1,9,2,0,4,4,0,5,2,0,12,0,5,3,0,3,2,4,0,9,2,1,1,8,1,2,4,3,1,0,0,2,3,3,3,5,1,1,6,1,5,0,5,4,1,1,4,1,0,1,2,2,0,3,2,0,0,0,8,1,6,3,11,1,1,4,7,2,1,1,1,2,0,2,7,5,1,0,7,6,1,0,14,6,4,7,3,5,4,5,3,0,0,18,2,0,4,2,1,3,3,5,8,2,2,2,0,0,4,1,0,0,2,5,3,0,4,1,2,6,3,1,12,1,4,3,0,0,1,2,8,2,1,2,4,1,0,0,0,3,5,5,1,0,1,2,0,15,0,2,0,15,16,7,2,8,0,1,1,0,0,0,2,1,11,0,2,1,4,1,1,0,0,2,0,1,0,3,1,0,2,0,10,0,2,5,1,0,4,1,0,1,1,10,0,0,1,2,0,6,1,0,2,2,5,3,5,2,1,2,8,3,1,1,1,2,0,6,0,3,2,7,0,4,1,2,7,4,17,3,1,2,1,2,2,2,0,27,3,1,2,3,4,1,7,4,1,0,1,12,3,1,3
