pred,im10,im20,im30,im11,im21,im31
-3,0.247312819,0.174874215,0.120262978,0.266132283,0.161995366,0.093419765
-2.5,0.228727625,0.177375687,0.135526952,0.249658304,0.164584567,0.104464581
-2,0.21114727,0.179905141,0.152392674,0.233879096,0.167206895,0.116647177
-1.5,0.194577287,0.182462649,0.170942212,0.218806363,0.169862509,0.130044201
-1,0.179012566,0.185048326,0.191240205,0.20444578,0.172551561,0.144727793
-0.5,0.164438694,0.187662234,0.213328235,0.190797521,0.175274209,0.160762948
0,0.150833346,0.190304443,0.237219127,0.177856691,0.178030559,0.178204561
0.5,0.138167526,0.192975016,0.262891481,0.165613923,0.180820752,0.197094059
1,0.12640697,0.195674008,0.290284809,0.154055986,0.183644905,0.217455986
