pred,im1,im2,im3
-3,0.221512951,0.165224027,0.121015258
-2.5,0.205415758,0.167540132,0.135457655
-2,0.190202534,0.169882096,0.151326909
-1.5,0.175866637,0.172250024,0.168692546
-1,0.162394577,0.174643999,0.187610454
-0.5,0.149766984,0.177064143,0.208118769
0,0.13795957,0.179510531,0.230233573
0.5,0.126944051,0.181983245,0.2539447
1,0.116689018,0.184482361,0.279212044
