var,est,p,ll,ul
Shock (log),0.004,0.964,0.951,0.975
Construal Style (std),0.193,0.637,0.606,0.667
Shock * Const,0.21,0.012,0.006,0.021
Constant,-4.124,0.107,0.089,0.128
